SampleID,ReactorID,Plate,Reactor,Feedstock,Inoculum,ExpDay,FeedNum,FeedDay,Succinic,Lactic,Formic,Acetic,Propionic,Isobutyric,Butyric,Ethanol,Isovaleric,Valeric,Isocaproic,Caproic,Heptanoic
TB354,W7_TB_F_D112,ARPA_TB_P6,W7,LFW,Drake,112,,,0.02,0.13,0,5.34,4.18,0,6.75,0.04,0.27,2.47,0,8.89,0
TB355,W8_TB_F_D112,ARPA_TB_P6,W8,LFW,Drake,112,,,0.06,0.14,0,4.83,3.98,0,6.32,1.05,0.22,1.18,0,0.43,0
TB356,G1_TB_F_D112,ARPA_TB_P6,G1,LFW,Drake,112,,,0.01,0,0,7.2,2.86,0,6.82,0,0.45,4.6,0,10.35,0
TB357,Leachate_FW,ARPA_TB_P6,LFW,,,,,,,,,,,,,,,,,,
TB358,Grass,ARPA_TB_P6,Grass,,,,,,,,,,,,,,,,,,
TB359,Manure (Batch 3),ARPA_TB_P6,Manure,,,,,,,,,,,,,,,,,,
TB360,PPB (Batch 2),ARPA_TB_P6,PPB,,,,,,,,,,,,,,,,,,
TB361,Drake,ARPA_TB_P6,Drake,,,,,,,,,,,,,,,,,,
A145,TA_W6_5-2-24,ARPA_TB_P6,Tailor_A,,,,,,,,,,,,,,,,,,
TB362,Manual Blank,ARPA_TB_P6,Blank,,,,,,,,,,,,,,,,,,
